127.0.0.1 - - [06/Feb/2015:07:47:46 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:47:47 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:47:48 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:47:52 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 421
127.0.0.1 - - [06/Feb/2015:07:48:01 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:48:10 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:48:20 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 156
127.0.0.1 - - [06/Feb/2015:07:48:21 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:48:26 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 143
127.0.0.1 - - [06/Feb/2015:07:48:28 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 353
127.0.0.1 - - [06/Feb/2015:07:49:39 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:49:39 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 200 7823
127.0.0.1 - - [06/Feb/2015:07:49:39 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 353
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_both.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/form-validator/location.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/form-validator/file.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/form-validator/security.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/jq/form-validator/date.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/images/sort_asc.png HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 353
127.0.0.1 - - [06/Feb/2015:07:49:45 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:49:53 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:50:01 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:50:03 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:50:14 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:50:17 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:50:18 +0000] "POST /ProjectProto2/InsertData HTTP/1.1" 200 155
127.0.0.1 - - [06/Feb/2015:07:51:02 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:51:02 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 200 7831
127.0.0.1 - - [06/Feb/2015:07:51:03 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 148
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/userindex.jsp HTTP/1.1" 200 9794
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/AddUser.js HTTP/1.1" 304 -
127.0.0.1 - - [06/Feb/2015:07:51:05 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
