127.0.0.1 - - [16/Feb/2015:10:29:03 +0000] "GET /ProjectProto2/Images/course2.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:10:29:03 +0000] "GET /ProjectProto2/Images/schedule1.jpeg HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:52:37 +0000] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [16/Feb/2015:12:52:40 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:12:52:42 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:52:42 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 200 640
127.0.0.1 - - [16/Feb/2015:12:52:42 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:52:43 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:52:50 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:12:53:03 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:12:53:03 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:12:54:29 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:12:58:17 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:12:58:17 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:58:18 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:12:58:20 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:12:58:20 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:12:59:22 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:12:59:22 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:23 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:12:59:24 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:12:59:24 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 12970
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:27 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:28 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:12:59:29 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:12:59:29 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:12:59:29 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:04:24 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:13:04:24 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 13035
127.0.0.1 - - [16/Feb/2015:13:04:24 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:04:25 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:04:32 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:04:32 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:04:34 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:08:51 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:13:08:51 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:08:51 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:08:52 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:08:53 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:08:53 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:08:56 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:18:57 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:22:11 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12203
127.0.0.1 - - [16/Feb/2015:13:22:11 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:22:11 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14096
127.0.0.1 - - [16/Feb/2015:13:22:11 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:22:11 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:22:13 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:22:13 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:22:18 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 746
127.0.0.1 - - [16/Feb/2015:13:22:22 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:28:42 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:28:42 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:42 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14253
127.0.0.1 - - [16/Feb/2015:13:28:43 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:28:46 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:28:46 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:28:48 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:28:48 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:48 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:49 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:28:50 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:28:50 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:28:50 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:29:37 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:29:37 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14255
127.0.0.1 - - [16/Feb/2015:13:29:37 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:29:39 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:29:39 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:41 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:42 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:29:42 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:29:42 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:29:42 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:30:58 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:30:58 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14262
127.0.0.1 - - [16/Feb/2015:13:30:58 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:31:06 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:31:06 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/jq/jquery-ui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/bootbox.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/main.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/jq/jquery-ui.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/js/jquery.dataTables.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/jq/form-validator/jquery.form-validator.min.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/CSS/DataTables-1.10.4/media/css/jquery.dataTables.css HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/JSControllers/CatCourseController.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/Images/logo_orange.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/Images/back.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:09 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:31:11 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:31:11 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:31:11 +0000] "GET /ProjectProto2/CSS/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2015:13:31:55 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:31:55 +0000] "GET /ProjectProto2/Category.js HTTP/1.1" 200 14257
127.0.0.1 - - [16/Feb/2015:13:31:56 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 3688
127.0.0.1 - - [16/Feb/2015:13:31:57 +0000] "POST /ProjectProto2/CategoryCourseRetrieve HTTP/1.1" 200 5105
127.0.0.1 - - [16/Feb/2015:13:31:57 +0000] "POST /ProjectProto2/GetUserData HTTP/1.1" 200 147
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/courseindex.jsp HTTP/1.1" 200 12330
127.0.0.1 - - [16/Feb/2015:13:32:01 +0000] "GET /ProjectProto2/CSS/js/bootstrap.min.js HTTP/1.1" 304 -
